%iy  id  it imin Q*      QH      QE      Qs      Qf      Wind RH    Td    press  rain Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2004 363 1  0    -999.00 -999.00 -999.00 -999.00 -999.00 2.20 65.80 -5.10 102.82 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 2  0    -999.00 -999.00 -999.00 -999.00 -999.00 2.40 68.00 -4.60 102.77 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 3  0    -999.00 -999.00 -999.00 -999.00 -999.00 3.50 72.30 -3.90 102.67 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 4  0    -999.00 -999.00 -999.00 -999.00 -999.00 3.30 78.00 -4.20 102.61 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 5  0    -999.00 -999.00 -999.00 -999.00 -999.00 3.10 80.40 -4.20 102.56 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 6  0    -999.00 -999.00 -999.00 -999.00 -999.00 2.80 85.20 -4.00 102.55 0.10 0.80   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 7  0    -999.00 -999.00 -999.00 -999.00 -999.00 2.70 90.90 -3.80 102.56 0.30 12.90  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 8  0    -999.00 -999.00 -999.00 -999.00 -999.00 2.70 93.90 -3.50 102.58 0.40 32.50  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 9  0    -999.00 -999.00 -999.00 -999.00 -999.00 2.50 94.60 -2.80 102.58 0.20 73.70  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 10 0    -999.00 -999.00 -999.00 -999.00 -999.00 3.50 93.00 -1.80 102.56 0.40 91.10  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 11 0    -999.00 -999.00 -999.00 -999.00 -999.00 4.30 88.30 -1.20 102.55 0.00 81.90  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 363 12 0    -999.00 -999.00 -999.00 -999.00 -999.00 4.20 87.90 -1.10 102.54 0.00 58.10  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
